Ignore mate,gnome,e17 and games packages.
İsim: speex-devel, sürüm: 1.2_rc1, yayım: 1
İsim: sphinx2, sürüm: 0.6, yayım: 1
İsim: sphinx2-devel, sürüm: 0.6, yayım: 1
İsim: sphinx2-docs, sürüm: 0.6, yayım: 1
İsim: spice-protocol, sürüm: 0.8.0, yayım: 1
İsim: splix, sürüm: 2.0.0_20110720, yayım: 1
İsim: sshfs, sürüm: 2.4, yayım: 1
İsim: stardict-essential-turkish, sürüm: 0.2, yayım: 1
İsim: stlport, sürüm: 5.2.1, yayım: 1
İsim: stlport-devel, sürüm: 5.2.1, yayım: 1
İsim: stoken, sürüm: 0.2, yayım: 1
İsim: stoken-devel, sürüm: 0.2, yayım: 1
İsim: streamripper, sürüm: 1.64.6, yayım: 1
İsim: subtitleripper, sürüm: 4, yayım: 1
İsim: supermodel, sürüm: 0.2a, yayım: 1
İsim: suspend, sürüm: 1.0, yayım: 1
İsim: swh-plugins, sürüm: 0.4.15, yayım: 1
İsim: symmetrica, sürüm: 2.0, yayım: 1
İsim: symmetrica-devel, sürüm: 2.0, yayım: 1
İsim: synergy, sürüm: 1.4.4, yayım: 1
İsim: sysinfo, sürüm: 2.3.1, yayım: 1
İsim: sysvinit, sürüm: 2.88, yayım: 1
İsim: sysvinit-tools, sürüm: 2.88, yayım: 1
